id,title,incident_on,min_lon,min_lat,max_lon,max_lat
89069,"Landslide at Koshi Highway , Khandbari Municipality-7",30-04-2026,87.20220932,27.36909377,87.23760611,27.40124225
89107,Landslide at Khandbari Municipality-7,30-04-2026,87.20220932,27.36909377,87.23760611,27.40124225
88991,"Landslide at Bimirebhanjayang, MadhyaNepal Municipality-10",29-04-2026,84.28070349,28.14189462,84.32018588,28.1809808
89023,"Landslide at Jalthale, Raghuganga Rural Municipality-8",29-04-2026,83.42055015,28.48904911,83.53806011,28.69745521
89025,"Landslide at Kodari, Jugal Rural Municipality-2",29-04-2026,85.69277115,27.85759222,85.79686022,28.04745458
88917,"Landslide at Maurikhola , Barbardiya Municipality-7",28-04-2026,81.37842041,28.3246777,81.43383887,28.38048263
88989,"Landslide at Mathillohuni, Gaumul Rural Municipality-1",28-04-2026,81.43507757,29.511634,81.57276609,29.69247101
88957,Landslide at Putha Uttarganga Rural Municipality-12,27-04-2026,82.73806582,28.55199511,82.80319769,28.64589936
88906,"Landslide at Kalikhola , Banfikot Rural Municipality-6",26-04-2026,82.42511763,28.69332702,82.46256074,28.74604354
88801,"Landslide at mabang, Sunchhahari Rural Municipality-5",25-04-2026,82.74871496,28.28684452,82.80845101,28.41704006
88807,"Landslide at Kimubote, Bhume Rural Municipality-3",25-04-2026,82.64068195,28.5510707,82.72115465,28.60183522
88812,"Landslide at Adame, Phidim Municipality-11",25-04-2026,87.76532587,27.12822481,87.83098637,27.17332166
88830,"Landslide at Kalabhir, Dharche Rural Municipality-3",25-04-2026,84.74876811,28.23077164,84.9086908,28.37644212
88838,"Landslide at Khachha, Sarkegad Rural Municipality-1",25-04-2026,81.90202967,29.67412928,82.03339959,29.76556502
88840,"Landslide at Rasuwagadhi, Gosaikunda Rural Municipality-2",25-04-2026,85.35805086,28.21724254,85.55786646,28.33702908
88851,"Landslide at Shreebeade, Shey Phoksundo Rural Municipality-99",25-04-2026,82.74488295,29.03984124,83.10481621,29.36636903
88863,"Landslide at Panitanki, Bhojpur Municipality-11",25-04-2026,87.06512192,27.12633704,87.10493021,27.19118282
88718,"Landslide at Bagkhor , Rong Rural Municipality-4",22-04-2026,88.02444325,26.74531243,88.09320865,26.8230055
88588,"Landslide at Ghayaru, Narpa Bhoomi Rural Municipality-3",20-04-2026,84.02188726,28.676822,84.24913768,28.88897443
88366,"Landslide at Bagkhor , Rong Rural Municipality-4",13-04-2026,88.02444325,26.74531243,88.09320865,26.8230055
88254,"Landslide at Thumki, Sangurigadhi Rural Municipality-6",09-04-2026,87.30090118,26.8466898,87.36889415,26.90422041
88258,"Landslide at Simbong, Bhotkhola Rural Municipality-4",09-04-2026,87.30295277,27.64077165,87.40260682,27.73206762
88188,"Landslide at Kalabhir, Dharche Rural Municipality-1",07-04-2026,84.89868923,28.24047194,85.12664707,28.47212138
88172,"Landslide at hallanagar, Shivaraj Municipality-2",06-04-2026,82.80981492,27.62718696,82.84430593,27.67328739
88113,Landslide at Gaumul Rural Municipality-3,05-04-2026,81.34966921,29.49343493,81.44246619,29.56492783
88005,Landslide at Jugal Rural Municipality-2,01-04-2026,85.69277115,27.85759222,85.79686022,28.04745458
88008,"Landslide at Bimire bhanjyang , MadhyaNepal Municipality-10",31-03-2026,84.28070349,28.14189462,84.32018588,28.1809808
87965,"Landslide at Chhongrang, Bhotkhola Rural Municipality-4",29-03-2026,87.30295277,27.64077165,87.40260682,27.73206762
87966,"Landslide at Thumki, Sangurigadhi Rural Municipality-6",29-03-2026,87.30090118,26.8466898,87.36889415,26.90422041
87979,Landslide at Illam Municipality-12,29-03-2026,87.86322238,26.87229975,87.91259276,26.92240266
87985,Landslide at Khandbari Municipality-7,29-03-2026,87.20220932,27.36909377,87.23760611,27.40124225
87986,Landslide at Sangurigadhi Rural Municipality-6,29-03-2026,87.30090118,26.8466898,87.36889415,26.90422041
87944,Landslide at Dhankuta Municipality-2,28-03-2026,87.32946555,26.98687752,87.3796788,27.0493181
87895,"Landslide at Khoxe Khola, Phungling Municipality-8",27-03-2026,87.65270615,27.30999051,87.71815219,27.35319346
87896,"Landslide at Kodhari, Bhotekoshi Rural Municipality-2",27-03-2026,85.87551965,27.93584496,85.97864221,28.05345347
87913,Landslide at Makawanpurgadhi Rural Municipality-5,27-03-2026,85.05702439,27.43560124,85.12019398,27.48831754
87920,Landslide at Benighat Rorang Rural Municipality-7,27-03-2026,84.7275987,27.76534037,84.7692979,27.80565522
87941,Landslide at Jugal Rural Municipality-2,27-03-2026,85.69277115,27.85759222,85.79686022,28.04745458
87862,"Landslide at Gaujini, Shivapuri Rural Municipality-3",25-03-2026,85.33588238,27.85878844,85.39982141,27.89182242
87864,"Landslide at khose khola, Pathibhara Yangwarak Rural Municipality-1",25-03-2026,87.6786403,27.28561391,87.73260417,27.34968637
87845,Landslide at Dhankuta Municipality-2,24-03-2026,87.32946555,26.98687752,87.3796788,27.0493181
87847,Landslide at Inaruwa Municipality-8,24-03-2026,87.10905233,26.61607892,87.16998942,26.66194625
87763,"Landslide at Thumki, Sangurigadhi Rural Municipality-6",21-03-2026,87.30090118,26.8466898,87.36889415,26.90422041
87741,Landslide at Konjyosom Rural Municipality-4,20-03-2026,85.31847231,27.5384786,85.36589926,27.55891782
87744,Landslide at Bhimphedi Rural Municipality-8,20-03-2026,85.18190701,27.45424567,85.26155758,27.53718931
87750,Landslide at Alital Rural Municipality-3,20-03-2026,80.42978267,29.12482712,80.53868024,29.23661865
87651,Landslide at Siddhalek Rural Municipality-6,18-03-2026,84.83485826,27.80139384,84.91329032,27.85158984
87531,Landslide at Tarkeshwar Rural Municipality-4,16-03-2026,85.01144413,27.84770255,85.07005551,27.89909076
87471,Landslide at Khandbari Municipality-7,15-03-2026,87.20220932,27.36909377,87.23760611,27.40124225
87476,Landslide at Madi Rural Municipality-3,15-03-2026,82.46375678,28.4131448,82.51923383,28.46636247
87430,"Landslide at Khokse Khola Mechi Highway , Pathibhara Yangwarak Rural Municipality-1",14-03-2026,87.6786403,27.28561391,87.73260417,27.34968637
87435,Landslide at Rolpa Municipality-10,14-03-2026,82.63861451,28.31188035,82.71498855,28.43185747
87448,"Landslide at Tuinkhola , Ichchhyakamana Rural Municipality-5",13-03-2026,84.55685995,27.82682401,84.60442033,27.86350749
87458,Landslide at Dhankuta Municipality-2,13-03-2026,87.32946555,26.98687752,87.3796788,27.0493181
87324,Landslide at Susta Rural Municipality-1,05-03-2026,83.82054943,27.46444796,83.89770261,27.51065892
87310,Landslide at Alital Rural Municipality-3,04-03-2026,80.42978267,29.12482712,80.53868024,29.23661865
87262,Landslide at Apihimal Rural Municipality-6,28-02-2026,80.72150068,29.774431,80.83223736,29.92995108
87203,"Landslide at Thumki, Sangurigadhi Rural Municipality-6",25-02-2026,87.30090118,26.8466898,87.36889415,26.90422041
87220,Landslide at Barekot Rural Municipality-3,25-02-2026,82.11747948,28.94916323,82.2750825,29.10996299
86977,"Landslide at Salyan , Raghuganga Rural Municipality-8",14-02-2026,83.42055015,28.48904911,83.53806011,28.69745521
86981,Landslide at Mikwakhola Rural Municipality-3,13-02-2026,87.6124611,27.41222821,87.65874099,27.45582147
86839,"Landslide at Bhalukhola, Bagmati Rural Municipality-4",04-02-2026,85.25467602,27.45118389,85.3034778,27.48686368
86812,Landslide at Namobuddha Municipality-4,01-02-2026,85.64528175,27.5320982,85.69628174,27.59163352
86793,Landslide at Gosaikunda Rural Municipality-4,31-01-2026,85.39967219,28.1292885,85.80022256,28.38628458
86762,Landslide at Konjyosom Rural Municipality-4,27-01-2026,85.31847231,27.5384786,85.36589926,27.55891782
86675,Landslide at Aathrai Tribeni Rural Municipality-5,25-01-2026,87.59754751,27.34093788,87.62399285,27.37126879
86544,Landslide at Gosaikunda Rural Municipality-2,19-01-2026,85.35805086,28.21724254,85.55786646,28.33702908
86553,Landslide at Kalimati Rural Municipality-3,18-01-2026,82.04408245,28.2463762,82.10073404,28.33972323
86442,Landslide at Jhimruk Rural Municipality-8,13-01-2026,82.93250985,28.15838364,82.98020066,28.19784976
86203,"Landslide at Tharmare , Sharada Municipality-9",02-01-2026,82.0418337,28.33689377,82.1070692,28.41133874
86124,"Landslide at Lagim , Banfikot Rural Municipality-6",29-12-2025,82.42511763,28.69332702,82.46256074,28.74604354
86057,Landslide at Sunil Smriti Rural Municipality-4,26-12-2025,82.69511725,28.20762345,82.74905776,28.25689729
85937,Landslide at Dharche Rural Municipality-5,19-12-2025,84.77574082,28.16370382,84.87698767,28.34008661
85819,Landslide at Mathagadhi Rural Municipality-1,14-12-2025,83.59887623,27.8165172,83.66574946,27.87199622
85859,Landslide at Rolpa Municipality-10,14-12-2025,82.63861451,28.31188035,82.71498855,28.43185747
85791,Landslide at Pyuthan Municipality-7,08-12-2025,82.85185577,28.10586252,82.88171112,28.13441901
85814,Landslide at Dhorpatan Municipality-4,07-12-2025,83.17771771,28.31772508,83.30396167,28.39246398
85683,Landslide at Katari Municipality-14,03-12-2025,86.36568193,27.1078772,86.43814447,27.17993974
85590,Landslide at Pachaljharana Rural Municipality-6,27-11-2025,81.69252208,29.30419336,81.75366191,29.34219478
85488,Landslide at Narpa Bhoomi Rural Municipality-3,21-11-2025,84.02188726,28.676822,84.24913768,28.88897443
85472,"Landslide at Malmul , Ribdikot Rural Municipality-3",20-11-2025,83.43936076,27.85359348,83.49137161,27.8971303
85388,Landslide at Gosaikunda Rural Municipality-4,15-11-2025,85.39967219,28.1292885,85.80022256,28.38628458
